category,difficulty,title,company_tags,accuracy,url
Tree,Easy,Tilt of Binary Tree,,51.70%,https://www.geeksforgeeks.org/problems/tilt-of-binary-tree/1
Tree,Easy,Count Leaves in a Perfect n-ary Tree,,45.36%,https://www.geeksforgeeks.org/problems/k-ary-tree1235/1
Tree,Easy,Depth of Deepest Odd Level Node,,45.05%,https://www.geeksforgeeks.org/problems/depth-of-node/1
Tree,Easy,Pairwise Swap Leaf Nodes,,37.10%,https://www.geeksforgeeks.org/problems/exchange-the-leaf-nodes/1
Tree,Easy,Postorder from Inorder and Preorder,Payu,56.13%,https://www.geeksforgeeks.org/problems/postorder-traversal-from-given-inorder-and-preorder-traversals/1
Tree,Medium,Tree Boundary Traversal,"Accolite, Amazon, FactSet, +9",23.33%,https://www.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1
Tree,Medium,Top View of Binary Tree,"NPCI, Ola Cabs, Paytm, +1",38.43%,https://www.geeksforgeeks.org/problems/top-view-of-binary-tree/1
Tree,Medium,Zig-Zag Tree Traversal,"Amazon, Cisco, FactSet, +5",54.05%,https://www.geeksforgeeks.org/problems/zigzag-tree-traversal/1
Tree,Medium,Diameter of a Binary Tree,"Amazon, Microsoft, NPCI, +1",47.37%,https://www.geeksforgeeks.org/problems/diameter-of-binary-tree/1
Tree,Medium,Bottom View of Binary Tree,"Accolite, Amazon, CouponDunia, +4",54.18%,https://www.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1
Tree,Medium,Sum Tree,"Adobe, Amazon, D-E-Shaw, +2",37.17%,https://www.geeksforgeeks.org/problems/sum-tree/1
Tree,Medium,Level Order Traversal,"Accolite, Adobe, Amazon, +9",70.31%,https://www.geeksforgeeks.org/problems/level-order-traversal/1
Tree,Medium,Children Sum in a Binary Tree,Intuit,51.58%,https://www.geeksforgeeks.org/problems/children-sum-parent/1
Tree,Medium,Vertical Tree Traversal,"Accolite, Amazon, BrowserStack, +7",32.87%,https://www.geeksforgeeks.org/problems/print-a-binary-tree-in-vertical-order/1
Tree,Medium,LCA in Binary Tree,"Accolite, Amazon, American Express, +13",52.85%,https://www.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1
Tree,Medium,Construct Tree from Inorder & Preorder,"Accolite, Amazon, Microsoft",34.59%,https://www.geeksforgeeks.org/problems/construct-tree-1/1
Tree,Medium,Check Subtree,"Morgan Stanley, Amazon, Microsoft, +5",24.34%,https://www.geeksforgeeks.org/problems/check-if-subtree/1
Tree,Medium,K Sum Paths,"Flipkart, Amazon, Walmart, +1",44.73%,https://www.geeksforgeeks.org/problems/k-sum-paths/1
Tree,Medium,Kth Ancestor in a Tree,"Google, Facebook, Amazon",35.06%,https://www.geeksforgeeks.org/problems/kth-ancestor-in-a-tree/1
Tree,Medium,Sum of nodes on the longest path,,52.39%,https://www.geeksforgeeks.org/problems/sum-of-the-longest-bloodline-of-a-tree/1
Tree,Medium,Maximum Path Sum,"Flipkart, Google, Facebook, +1",42.92%,https://www.geeksforgeeks.org/problems/maximum-path-sum-from-any-node/1
Tree,Medium,Isomorphic Trees,"Amazon, Microsoft",49.11%,https://www.geeksforgeeks.org/problems/check-if-tree-is-isomorphic/1
Tree,Medium,Duplicate Subtree Check,Google,34.23%,https://www.geeksforgeeks.org/problems/duplicate-subtree-in-binary-tree/1
Tree,Medium,Connect Nodes of Levels,"Flipkart, Accolite, Amazon, +8",55.78%,https://www.geeksforgeeks.org/problems/connect-nodes-at-same-level/1
Tree,Medium,Maximum Non-Adjacent Nodes Sum,"Flipkart, Amazon, Google, +1",55.35%,https://www.geeksforgeeks.org/problems/maximum-sum-of-non-adjacent-nodes/1
Tree,Medium,Diagonal Tree Traversal,"Amazon, Microsoft",60.63%,https://www.geeksforgeeks.org/problems/diagonal-traversal-of-binary-tree/1
Tree,Medium,Node and Ancestor Max Diff,Amazon,34.95%,https://www.geeksforgeeks.org/problems/maximum-difference-between-node-and-its-ancestor/1
Tree,Medium,Binary Tree from Inorder and Postorder,"Amazon, Microsoft, Hike, +1",64.78%,https://www.geeksforgeeks.org/problems/tree-from-postorder-and-inorder/1
Tree,Medium,Count Nodes at Distance K From Leaf,"Flipkart, Microsoft",34.27%,https://www.geeksforgeeks.org/problems/node-at-distance/1
Tree,Medium,Vertical Width of a Binary Tree,,43.48%,https://www.geeksforgeeks.org/problems/vertical-width-of-a-binary-tree/1
Tree,Medium,Ancestors in Binary Tree,Amazon,40.34%,https://www.geeksforgeeks.org/problems/ancestors-in-binary-tree/1
Tree,Medium,All Duplicate Subtrees,,23.98%,https://www.geeksforgeeks.org/problems/duplicate-subtrees/1
Tree,Medium,Linked List to Binary Tree,Amazon,65.65%,https://www.geeksforgeeks.org/problems/make-binary-tree/1
Tree,Medium,Construct Binary Tree from Parent Array,"Amazon, Microsoft, Snapdeal",47.34%,https://www.geeksforgeeks.org/problems/construct-binary-tree-from-parent-array/1
Tree,Medium,Check if two Nodes are Cousins,"Amazon, D-E-Shaw",25.99%,https://www.geeksforgeeks.org/problems/check-if-two-nodes-are-cousins/1
Tree,Medium,Vertical Sum,Amazon,64.76%,https://www.geeksforgeeks.org/problems/vertical-sum/1
Tree,Medium,Populate Inorder Successors,,51.20%,https://www.geeksforgeeks.org/problems/populate-inorder-successor-for-all-nodes/1
Tree,Medium,Binary Tree to Circular DLL,"Amazon, SAP Labs",71.66%,https://www.geeksforgeeks.org/problems/binary-tree-to-cdll/1
Tree,Medium,Corner Nodes in Binary Tree,Amazon,52.58%,https://www.geeksforgeeks.org/problems/leftmost-and-rightmost-nodes-of-binary-tree/1
Tree,Medium,Count Greater on Right Queries,,56.74%,https://www.geeksforgeeks.org/problems/number-of-nges-to-the-right/1
Tree,Medium,Iterative Postorder,Microsoft,80.67%,https://www.geeksforgeeks.org/problems/postorder-traversal-iterative/1
Tree,Medium,Flatten Binary Tree to Linked List,Microsoft,75.82%,https://www.geeksforgeeks.org/problems/flatten-binary-tree-to-linked-list/1
Tree,Medium,Count SubTrees with Sum,Microsoft,56.90%,https://www.geeksforgeeks.org/problems/count-number-of-subtrees-having-given-sum/1
Tree,Medium,Root to Leaf Paths Sum,"Amazon, Microsoft, OYO Rooms, +1",58.40%,https://www.geeksforgeeks.org/problems/root-to-leaf-paths-sum/1
Tree,Medium,Foldable Binary Tree,Expedia,60.54%,https://www.geeksforgeeks.org/problems/foldable-binary-tree/1
Tree,Medium,Diagonal Sum in Binary Tree,"Accolite, Amazon",61.89%,https://www.geeksforgeeks.org/problems/diagonal-sum-in-binary-tree/1
Tree,Medium,Iterative Preorder Traversal,"Microsoft, NPCI",81.12%,https://www.geeksforgeeks.org/problems/preorder-traversal-iterative/1
Tree,Medium,Iterative Inorder,Microsoft,80.50%,https://www.geeksforgeeks.org/problems/inorder-traversal-iterative/1
Tree,Medium,Paths from Root with Sum,Microsoft,55.00%,https://www.geeksforgeeks.org/problems/paths-from-root-with-a-specified-sum/1
Tree,Medium,Check Mirror in N-ary tree,"Amazon, D-E-Shaw, Hike, +1",52.21%,https://www.geeksforgeeks.org/problems/check-mirror-in-n-ary-tree1528/1
Tree,Medium,Kth Common Ancestor in BST,,58.93%,https://www.geeksforgeeks.org/problems/kth-common-ancestor-in-bst/1
Tree,Medium,Construct a Full Binary Tree,,74.63%,https://www.geeksforgeeks.org/problems/construct-a-full-binary-tree--170648/1
Tree,Medium,Sum of nodes within k distance from target,,62.90%,https://www.geeksforgeeks.org/problems/sum-of-nodes-within-k-distance-from-target--170637/1
Tree,Medium,Check Complete Binary Tree,,42.94%,https://www.geeksforgeeks.org/problems/complete-binary-tree/1
Tree,Medium,Largest Subtree Sum,,54.83%,https://www.geeksforgeeks.org/problems/largest-subtree-sum-in-a-tree/1
Tree,Medium,Binary Tree from Bracket String,,59.15%,https://www.geeksforgeeks.org/problems/construct-binary-tree-from-string-with-bracket-representation/1
Tree,Medium,Leaves to DLL,"Amazon, Linkedin",49.21%,https://www.geeksforgeeks.org/problems/leaves-to-dll/1
Tree,Medium,Tree Transformation,,54.63%,https://www.geeksforgeeks.org/problems/tree-transformation--170648/1
Tree,Medium,Check Level Anagrams in Binary Trees,,56.88%,https://www.geeksforgeeks.org/problems/check-if-all-levels-of-two-trees-are-anagrams-or-not/1
Tree,Medium,Clone a Binary Tree,"Amazon, Synopsys",67.71%,https://www.geeksforgeeks.org/problems/clone-a-binary-tree/1
Tree,Medium,Complete Binary Tree Traversal with Array Input,,46.62%,https://www.geeksforgeeks.org/problems/print-binary-tree-levels-in-sorted-order3241/1
