category,difficulty,title,company_tags,accuracy,url
Strings,Basic,Floating Point Number Even or Odd,,37.03%,https://www.geeksforgeeks.org/problems/floating-point-number-even-or-odd0146/1
Strings,Basic,Shortest direction,Flipkart,52.11%,https://www.geeksforgeeks.org/problems/shortest-direction4201/1
Strings,Basic,Same Frequency in Two Halves,,45.17%,https://www.geeksforgeeks.org/problems/riyas-test1450/1
Strings,Basic,Count Distinct Vowels in String,,66.74%,https://www.geeksforgeeks.org/problems/count-distinct-vowels-in-string/1
Strings,Basic,Maximum Integer Value,Facebook,41.75%,https://www.geeksforgeeks.org/problems/maximum-integer-value1434/1
Strings,Basic,Time to Words,,34.27%,https://www.geeksforgeeks.org/problems/time-to-words3728/1
Strings,Basic,Perfect Reversible String,,42.26%,https://www.geeksforgeeks.org/problems/perfect-reversible-string4828/1
Strings,Basic,Alternate Lowercase and Uppercase,,40.19%,https://www.geeksforgeeks.org/problems/crazy-string1157/1
Strings,Basic,Word Lengths,,59.26%,https://www.geeksforgeeks.org/problems/count-the-characters-in-each-word-in-a-given-sentence3451/1
Strings,Basic,Check for 0 Between 1's in Binary String,,35.01%,https://www.geeksforgeeks.org/problems/check-binary-string0402/1
Strings,Basic,All 0s Together in a Binary String,,32.59%,https://www.geeksforgeeks.org/problems/the-muskteers3519/1
Strings,Basic,Any Common Word in Two Lists,,64.97%,https://www.geeksforgeeks.org/problems/sort-the-fest0016/1
Strings,Basic,Just One Mismatch,,54.31%,https://www.geeksforgeeks.org/problems/just-one-mismatch1714/1
Strings,Basic,Max-Min Conversion,,39.47%,https://www.geeksforgeeks.org/problems/max-min-conversion5257/1
Strings,Basic,Replace a Substring with Spaces,,49.87%,https://www.geeksforgeeks.org/problems/extraction-of-secret-message0616/1
Strings,Basic,Count Equal Pairs in String,,50.64%,https://www.geeksforgeeks.org/problems/count-number-of-equal-pairs-in-a-string0520/1
Strings,Basic,Sum of All Digit Subsequences,,57.27%,https://www.geeksforgeeks.org/problems/sum-of-all-sub-sequences-of-a-number3437/1
Strings,Basic,URLify a given string,,79.74%,https://www.geeksforgeeks.org/problems/urlify-a-given-string--141625/1
Strings,Basic,Java Date and Day,,66.70%,https://www.geeksforgeeks.org/problems/java-date-and-day5024/1
Strings,Basic,Binary Addition of 1,,35.04%,https://www.geeksforgeeks.org/problems/dr-stranges-powers3333/1
Strings,Easy,Reverse Words,"Accolite, Adobe, Amazon, +8",56.08%,https://www.geeksforgeeks.org/problems/reverse-words-in-a-given-string5459/1
Strings,Easy,Longest Common Prefix of Strings,"Google, Microsoft, VMWare",29.52%,https://www.geeksforgeeks.org/problems/longest-common-prefix-in-an-array5129/1
Strings,Easy,String Rotated by 2 Places,"Accolite, Amazon",32.70%,https://www.geeksforgeeks.org/problems/check-if-string-is-rotated-by-two-places-1587115620/1
Strings,Easy,String Duplicates Removal,"Adobe, Amazon, Microsoft",58.68%,https://www.geeksforgeeks.org/problems/remove-all-duplicates-from-a-given-string4321/1
Strings,Easy,Roman to Integer,"Amazon, Facebook, Microsoft, +4",43.31%,https://www.geeksforgeeks.org/problems/roman-number-to-integer3201/1
Strings,Easy,Most Frequent Character,Flipkart,53.55%,https://www.geeksforgeeks.org/problems/maximum-occuring-character-1587115620/1
Strings,Easy,Replace Consecutive Two Same with One,,53.35%,https://www.geeksforgeeks.org/problems/consecutive-elements2306/1
Strings,Easy,Panagram Checking,Snapdeal,61.34%,https://www.geeksforgeeks.org/problems/pangram-checking-1587115620/1
Strings,Easy,Nearest Multiple of 10,Microsoft,19.32%,https://www.geeksforgeeks.org/problems/nearest-multiple-of-102437/1
Strings,Easy,Rotate Bits,,20.80%,https://www.geeksforgeeks.org/problems/rotate-bits4524/1
Strings,Easy,Sum Numbers in a String,,63.01%,https://www.geeksforgeeks.org/problems/sum-of-numbers-in-string-1587115621/1
Strings,Easy,Run Length Encoding,"VMWare, Zoho, Amazon, +4",43.33%,https://www.geeksforgeeks.org/problems/run-length-encoding/1
Strings,Easy,Remaining String,"Zoho, Oracle",17.06%,https://www.geeksforgeeks.org/problems/remaining-string3515/1
Strings,Easy,Count Words in a String,Amazon,14.15%,https://www.geeksforgeeks.org/problems/count-number-of-words1500/1
Strings,Easy,Min Number of Flips,Goldman Sachs,48.58%,https://www.geeksforgeeks.org/problems/min-number-of-flips3210/1
Strings,Easy,Wifi Range,,51.63%,https://www.geeksforgeeks.org/problems/wifi-range--170647/1
Strings,Easy,Count Strings,"Amazon, Google",53.46%,https://www.geeksforgeeks.org/problems/count-of-strings-that-can-be-formed-using-a-b-and-c-under-given-constraints1135/1
Strings,Easy,Decimal to Roman,"Amazon, Microsoft, InfoEdge, +2",51.57%,https://www.geeksforgeeks.org/problems/convert-to-roman-no/1
